time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-03-02 00:00:00+00:00,1,1,4,4
2025-03-03 00:00:00+00:00,4,3,24,10
2025-03-04 00:00:00+00:00,9,5,50,13
2025-03-05 00:00:00+00:00,1,1,21,9
2025-03-06 00:00:00+00:00,3,2,37,15
2025-03-07 00:00:00+00:00,4,4,35,12
2025-03-09 00:00:00+00:00,1,1,18,4
2025-03-10 00:00:00+00:00,5,3,38,11
2025-03-11 00:00:00+00:00,16,5,58,11
2025-03-12 00:00:00+00:00,5,4,73,14
2025-03-13 00:00:00+00:00,7,4,26,8
2025-03-14 00:00:00+00:00,2,2,10,6
2025-03-15 00:00:00+00:00,1,1,6,2
