time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-03-01 00:00:00+00:00,1,1,0,0
2025-03-02 00:00:00+00:00,1,1,0,0
2025-03-03 00:00:00+00:00,0,0,5,2
2025-03-04 00:00:00+00:00,0,0,7,2
2025-03-05 00:00:00+00:00,0,0,3,2
2025-03-06 00:00:00+00:00,1,1,3,1
2025-03-07 00:00:00+00:00,1,1,0,0
2025-03-08 00:00:00+00:00,0,0,1,1
2025-03-10 00:00:00+00:00,0,0,9,2
2025-03-11 00:00:00+00:00,2,2,6,2
2025-03-12 00:00:00+00:00,0,0,1,1
2025-03-13 00:00:00+00:00,0,0,2,1
2025-03-18 00:00:00+00:00,0,0,1,1
2025-03-19 00:00:00+00:00,0,0,4,1
2025-03-21 00:00:00+00:00,1,1,0,0
