time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-02-27 00:00:00+00:00,0,0,2,2
2025-02-28 00:00:00+00:00,0,0,6,3
2025-03-01 00:00:00+00:00,3,3,9,3
2025-03-02 00:00:00+00:00,1,1,3,1
2025-03-03 00:00:00+00:00,0,0,3,3
2025-03-04 00:00:00+00:00,0,0,3,2
2025-03-05 00:00:00+00:00,2,1,7,4
2025-03-06 00:00:00+00:00,2,2,9,7
2025-03-07 00:00:00+00:00,3,3,9,2
2025-03-08 00:00:00+00:00,3,3,0,0
2025-03-09 00:00:00+00:00,0,0,3,3
2025-03-10 00:00:00+00:00,1,1,7,3
2025-03-11 00:00:00+00:00,2,2,28,9
2025-03-12 00:00:00+00:00,0,0,16,7
2025-03-13 00:00:00+00:00,0,0,26,6
2025-03-14 00:00:00+00:00,0,0,5,4
2025-03-15 00:00:00+00:00,1,1,4,4
